ad_id,city_id,category_id,market,date_posted,date_expired,price_per_sqm,price,rooms_num
62925670,26,101,primary,3/28/2022,5/12/2022,15968,1390000,3
62782198,26,101,primary,2/17/2022,6/23/2022,16000,758560,2
62857662,26,101,primary,3/9/2022,4/30/2022,9066,489590,3
61551941,26,101,primary,2/25/2021,6/20/2022,8870,691594,3
62818252,26,101,secondary,2/25/2022,3/5/2022,12799,375000,1
62779607,26,101,primary,2/16/2022,6/16/2022,14415,700000,2
62821889,26,101,secondary,2/28/2022,2/28/2022,10627,495000,2
62820291,26,101,secondary,2/27/2022,3/29/2022,12553,590000,2
62885119,26,101,secondary,3/16/2022,4/16/2022,12232,570000,2
62784300,1004,101,secondary,2/17/2022,5/27/2022,5806,209000,2
62889296,26,101,secondary,3/17/2022,4/21/2022,10906,698000,4
62926716,26,101,secondary,3/28/2022,5/23/2022,13191,649000,2
62801598,26,101,primary,2/22/2022,3/24/2022,12000,538200,2
62778763,26,101,primary,2/16/2022,6/16/2022,10650,663175,2
62834218,26,101,secondary,3/2/2022,6/2/2022,19548,2250000,4
62800580,26,101,secondary,2/21/2022,7/2/2022,9583,499000,2
62892039,1004,101,secondary,3/18/2022,3/18/2022,6057,450000,3
62838218,26,101,primary,3/3/2022,4/2/2022,10823,507816,2
62856794,1004,101,primary,3/9/2022,5/8/2022,7800,564954,3
62761985,26,101,primary,2/11/2022,6/11/2022,19558,1000000,3
62751688,26,101,primary,2/9/2022,2/21/2022,11404,593000,3
62915204,26,101,secondary,3/24/2022,4/26/2022,9957,619000,3
62892361,26,101,secondary,3/18/2022,4/21/2022,16764,860000,2
62794305,1004,101,secondary,2/20/2022,3/10/2022,5717,258000,2
62919265,26,101,secondary,3/25/2022,5/26/2022,14472,1099900,3
62864965,26,101,secondary,3/11/2022,4/10/2022,23907,1350000,2
62919989,26,101,secondary,3/26/2022,5/25/2022,13000,780000,3
62926264,1004,101,secondary,3/28/2022,6/3/2022,7170,489000,3
62778971,26,101,secondary,2/16/2022,4/28/2022,15293,574999,2
62756458,26,101,secondary,2/10/2022,3/12/2022,12200,610000,3
62866252,26,101,primary,3/11/2022,6/9/2022,12098,500000,2
62835536,26,101,primary,3/3/2022,7/1/2022,12335,700000,3
62906482,26,101,primary,3/22/2022,3/24/2022,11404,593000,3
62751494,26,101,primary,2/9/2022,6/9/2022,15654,600000,2
62817556,26,101,secondary,2/25/2022,3/27/2022,14974,569000,2
62885724,26,101,secondary,3/16/2022,5/25/2022,12439,765000,3
62906800,26,101,primary,3/22/2022,4/30/2022,17894,1537950,4
62900175,26,101,secondary,3/21/2022,6/2/2022,15335,1440000,3
62932238,26,101,secondary,3/30/2022,6/1/2022,11042,530000,3
62735153,26,101,primary,2/4/2022,3/6/2022,13700,599101,2
62797324,26,101,secondary,2/21/2022,3/4/2022,13000,684320,2
62726019,26,101,secondary,2/2/2022,3/4/2022,9969,650000,3
62907695,26,101,secondary,3/23/2022,4/22/2022,15962,415000,1
62889281,1004,101,secondary,3/17/2022,3/22/2022,5016,311000,3
62734575,26,101,secondary,2/4/2022,4/6/2022,11099,1268000,4
62812794,26,101,primary,2/24/2022,4/19/2022,18500,851185,2
62863166,26,101,secondary,3/10/2022,4/9/2022,14668,625000,3
62903866,26,101,primary,3/22/2022,6/20/2022,11241,700000,3
62908720,26,101,secondary,3/23/2022,6/21/2022,9896,1999000,5
62778889,26,101,secondary,2/16/2022,4/18/2022,16081,595000,2
62898626,26,101,secondary,3/21/2022,6/19/2022,14048,590000,2
62847191,1004,101,secondary,3/7/2022,4/6/2022,8824,375000,2
62755666,26,101,secondary,2/10/2022,6/10/2022,9000,591300,3
62808081,26,101,secondary,2/23/2022,4/25/2022,14465,1299000,4
62888964,26,101,secondary,3/17/2022,3/25/2022,10650,999000,3
62858179,26,101,secondary,3/9/2022,6/2/2022,11935,444000,2
62789424,26,101,primary,2/18/2022,6/18/2022,22343,1600000,3
62888253,1004,101,primary,3/17/2022,3/22/2022,7478,381245,3
62841791,26,101,primary,3/4/2022,7/2/2022,20115,702000,1
62872159,26,101,secondary,3/13/2022,5/12/2022,16782,730000,2
62736959,26,101,secondary,2/4/2022,4/15/2022,12621,650000,3
62875865,26,101,secondary,3/14/2022,3/30/2022,10997,750000,4
62772434,26,101,primary,2/15/2022,3/18/2022,7412,845000,3
62749853,1004,101,primary,2/8/2022,3/10/2022,7914,402493,3
62823359,26,101,primary,2/28/2022,6/28/2022,11751,810840,3
62764666,26,101,secondary,2/12/2022,5/2/2022,18462,1200000,2
61618740,1004,101,secondary,3/13/2021,7/6/2022,6597,204500,2
62926426,1004,101,secondary,3/28/2022,6/26/2022,6111,275000,2
62879336,26,101,secondary,3/15/2022,6/13/2022,12338,950000,3
62905774,26,101,primary,3/22/2022,5/21/2022,27344,700000,1
62875402,26,101,primary,3/14/2022,4/13/2022,9271,699000,4
62752563,1004,101,secondary,2/9/2022,3/11/2022,7595,319000,2
62934160,26,101,secondary,3/30/2022,4/3/2022,12125,388000,1
62751451,26,101,primary,2/9/2022,6/9/2022,14083,1000000,4
62813560,26,101,secondary,2/24/2022,3/23/2022,16306,799000,2
62742456,26,101,primary,2/7/2022,4/8/2022,10475,1300000,3
62816168,26,101,secondary,2/25/2022,6/29/2022,10236,650000,3
62873843,1004,101,primary,3/14/2022,5/13/2022,7500,435225,3
62767147,26,101,primary,2/13/2022,3/8/2022,13130,981468,4
62773597,26,101,primary,2/15/2022,3/29/2022,13260,638989,3
62886181,26,101,secondary,3/17/2022,4/1/2022,10985,580000,3
62732996,1004,101,secondary,2/3/2022,3/5/2022,6285,269000,2
62735009,26,101,primary,2/4/2022,2/17/2022,11681,605061,4
62854807,26,101,secondary,3/8/2022,6/2/2022,19182,1440000,3
62729788,26,101,primary,2/3/2022,3/5/2022,12647,653084,2
62826421,26,101,primary,3/1/2022,6/30/2022,22439,933000,2
62915279,1004,101,secondary,3/24/2022,5/31/2022,6487,369787,3
62735332,26,101,secondary,2/4/2022,5/11/2022,11386,501000,3
62780388,26,101,secondary,2/16/2022,5/13/2022,13917,669000,3
62776131,26,101,primary,2/15/2022,6/15/2022,14660,700000,2
62849347,26,101,secondary,3/7/2022,3/24/2022,16205,1499000,3
62728405,1004,101,secondary,2/2/2022,2/22/2022,6396,339000,3
62927684,26,101,secondary,3/29/2022,4/28/2022,24701,930000,2
62813607,26,101,primary,2/24/2022,6/24/2022,26202,2176106,3
62781383,26,101,secondary,2/16/2022,5/4/2022,10986,758000,3
62783647,1004,101,secondary,2/17/2022,4/11/2022,6057,228000,2
62819492,26,101,secondary,2/26/2022,3/19/2022,11231,520000,2
62725032,26,101,secondary,2/2/2022,4/28/2022,12000,480000,1
62848049,26,101,primary,3/7/2022,7/5/2022,14606,900000,3
62809918,26,101,primary,2/23/2022,3/29/2022,10516,710850,4
62934170,26,101,primary,3/30/2022,4/29/2022,19500,879645,2
62757264,26,101,primary,2/10/2022,6/10/2022,13752,600000,2
62835526,26,101,primary,3/3/2022,7/1/2022,12333,700000,3
62854076,26,101,primary,3/8/2022,4/7/2022,10283,545000,3
62902807,26,101,secondary,3/22/2022,4/21/2022,19585,1320000,3
62787177,1004,101,primary,2/18/2022,3/20/2022,10231,500000,2
62728463,26,101,primary,2/2/2022,3/9/2022,17090,1639100,4
62739658,26,101,secondary,2/6/2022,3/8/2022,12469,798000,4
62884616,26,101,secondary,3/16/2022,4/19/2022,12198,1133220,4
62754123,1004,101,primary,2/9/2022,3/11/2022,8951,445500,3
62866445,26,101,primary,3/11/2022,4/2/2022,14443,635500,2
62789245,26,101,primary,2/18/2022,3/29/2022,10975,745989,3
