date_day;ad_id;city_id;category_id;amount_spend_to_promote_ads
2022-03-06;62845828;26;102;22.19
2021-03-03;61574280;26;101;11.09
2021-03-23;61540306;26;102;22.19
2022-02-26;62819726;26;102;22.19
2022-03-11;62679776;26;101;18.86
2021-02-01;61444871;26;102;38.84
2021-03-30;61672158;26;101;11.09
2021-03-18;61600092;26;101;11.09
2021-02-24;61485098;26;101;55.49
2021-03-29;61169478;26;101;49.93
2021-02-04;60577939;26;101;38.84
2021-03-31;61568347;26;101;94.33
2022-03-16;62267081;26;101;22.19
2021-03-22;61446991;26;101;11.09
2021-03-03;61446991;26;101;11.09
2021-03-26;61655425;26;101;11.09
2021-02-27;61434101;26;102;22.19
2022-03-17;62755456;26;101;18.86
2021-03-01;61344334;26;101;38.84
2021-03-01;61442183;26;102;22.19
2021-03-23;61649179;26;102;22.19
2022-03-11;62590310;26;101;22.19
2021-02-22;61417617;26;102;38.83
2021-03-22;61606903;26;101;11.09
2021-03-15;61451214;26;101;11.09
2021-03-14;61358768;26;101;11.09
2022-03-08;62799578;26;101;22.19
2021-02-03;61090034;26;102;11.09
2021-02-04;60300324;26;101;11.09
2022-03-22;62785601;26;101;19.97
2021-03-10;61535121;26;101;38.84
2022-02-16;62657252;26;101;19.97
2021-03-12;61617597;26;201;22.19
2021-03-04;61527589;26;102;11.09
2022-02-22;62704044;26;102;22.19
2022-03-15;62635357;26;101;19.97
2021-03-16;61445045;26;101;11.09
2022-03-25;62915340;26;101;19.97
2021-03-02;61482858;26;102;11.09
2021-03-20;61648795;26;102;22.19
2022-03-22;62786345;26;101;19.97
2021-03-22;61648458;26;101;22.19
2022-03-30;62936238;26;101;19.97
2021-02-05;60238311;26;101;11.09
2021-03-25;61592265;26;101;66.59
2022-02-28;62825098;26;101;19.97
2021-03-26;61129414;26;101;55.49
2021-02-17;61302149;26;102;11.09
2022-02-02;62725554;26;102;22.19
2021-03-11;61392960;26;101;38.84
2022-03-04;62841486;26;101;19.97
2022-02-07;62736760;26;102;22.19
2022-03-29;62914341;26;101;19.97
2022-03-03;62833444;26;101;22.19
2022-03-02;62829805;26;101;22.19
2021-02-17;61509940;26;101;61.03
2022-03-01;62827553;26;102;22.19
2022-02-22;62804963;26;101;56.60
2022-03-14;62476617;1004;101;22.19
2021-03-11;61356475;1004;101;38.84
2022-03-01;62828785;1004;101;22.19
2021-03-05;61559911;1004;101;33.28
2021-03-01;61565379;1004;101;22.19
2021-03-12;61465170;1004;101;11.09
2022-02-18;62786456;1004;101;18.86
2022-03-06;62687576;1004;101;22.19
2022-03-14;62800215;1004;101;19.97
2021-03-14;61619960;1004;201;38.84
2021-02-26;61557810;26;101;55.49
2021-03-27;61614802;26;101;49.93
2021-02-12;61447005;26;101;11.09
2022-03-29;62928277;26;101;22.19
2021-03-18;61557985;26;101;11.09
2021-03-20;61520602;26;202;22.19
2021-02-07;60655403;26;102;105.43
2022-03-08;62855015;26;101;18.86
2021-03-18;60637188;26;101;55.49
2021-03-24;61646873;26;101;11.09
2021-03-03;61575371;26;101;22.19
2021-02-06;61114619;26;101;66.58
2021-02-24;61517992;26;102;11.09
2021-03-03;61252443;26;101;11.09
2021-02-05;61477772;26;101;22.19
2021-03-27;61661855;26;101;11.09
2021-02-17;61012635;26;101;11.09
2021-03-12;61599313;26;101;27.74
2021-02-07;61154386;26;101;11.09
2022-03-28;62925405;26;101;22.19
2022-03-11;62866871;26;102;19.97
2021-02-22;61486347;26;101;11.09
2021-02-20;61379946;26;102;11.09
2022-02-14;62758266;26;101;18.86
2021-03-06;61483424;26;101;22.19
2021-02-21;61500302;26;101;11.09
2021-02-22;61194216;26;102;11.09
2021-02-06;61451214;26;101;11.09
2021-03-22;61451214;26;101;38.83
2022-02-11;62543134;26;101;22.19
2021-03-12;41798871;26;102;11.09
2022-02-04;62456756;26;101;22.19
